brand,name,brewer,pref,city,reg,cls,rice_list,smv,acidity,amino,alcohol,polish,sweetness,rank,umap_x,umap_y,pca_x,pca_y,tango,n_imputed
金閣,荒武者,キンシ正宗,京都府,京都市伏見区,伏見,本醸造,[],11.0,1.3,1.2,16.5,60.0,-0.93,,9.077289,1.543619,1.2015692198291368,0.4514595219848261,False,0
金閣,,キンシ正宗,京都府,京都市伏見区,伏見,本醸造,['国内産米'],1.0,1.5,1.3,16.5,65.0,-0.24,,8.76187,1.6136497,0.26905209020115384,1.0163537281063126,False,0
松屋久兵衛,,キンシ正宗,京都府,京都市伏見区,伏見,純米大吟醸,['山田錦'],1.0,1.2,1.1,16.5,35.0,0.11,,3.294969,4.1575356,1.2986239288182284,-1.6353067002475274,False,0
金鵄正宗,純米大吟醸 祝,キンシ正宗,京都府,京都市伏見区,伏見,純米大吟醸,['祝'],1.0,1.2,1.1,16.5,45.0,0.11,,4.192332,4.493702,1.0633062270995117,-1.006402672232084,False,0
切子,純米大吟醸,キンシ正宗,京都府,京都市伏見区,伏見,純米大吟醸,['祝'],1.0,1.2,1.1,16.5,45.0,0.11,,4.1393156,4.5166864,1.0633062270995117,-1.006402672232084,False,0
金鵄正宗,純米吟醸,キンシ正宗,京都府,京都市伏見区,伏見,純米吟醸,['祝'],1.5,1.2,1.2,15.5,55.0,0.06,,13.94842,7.759707,0.44362277310919845,-0.24111266773269557,False,0
金鵄正宗,特別純米,キンシ正宗,京都府,京都市伏見区,伏見,特別純米,['五百万石'],1.5,1.4,1.3,15.5,60.0,-0.17,,14.872305,3.2995894,0.1070822003123962,0.4762133505929711,False,0
金鵄正宗,純米酒,キンシ正宗,京都府,京都市伏見区,伏見,純米,['国内産米'],4.0,1.5,1.3,15.5,60.0,-0.52,,14.843884,3.288228,0.14193162910622767,0.5551209679723955,False,1
銀閣,荒武者,キンシ正宗,京都府,京都市伏見区,伏見,普通酒,[],11.0,1.3,1.2,15.5,60.0,-0.93,,14.518417,4.6946917,0.7779969408254981,0.2589492321973766,False,1
桃山,荒武者,キンシ正宗,京都府,京都市伏見区,伏見,普通酒,[],8.5,1.3,1.2,15.5,60.0,-0.7,,14.550769,4.603471,0.6290028016177031,0.22084127914633156,False,1
銀閣,,キンシ正宗,京都府,京都市伏見区,伏見,普通酒,[],1.0,1.3,1.4,15.5,60.0,-0.01,,10.185933,0.121833354,0.2008357817752837,0.7490667713155686,False,1
金鵄正宗,純米吟醸生原酒,キンシ正宗,京都府,京都市伏見区,伏見,純米吟醸,['祝'],1.5,1.2,1.1,17.5,55.0,0.06,,7.230719,2.9598246,1.2813596322259928,-0.1773667638189824,False,0
酒呑童子,丹後の秋 紅葉姫,ハクレイ酒造,京都府,宮津市,丹後,純米吟醸,['五百万石'],4.0,2.0,1.0,16.45,55.0,-1.1,,7.9109006,3.4434683,0.06303749627777513,-0.3362719760789116,True,0
香田,香田３５磨き,ハクレイ酒造,京都府,宮津市,丹後,大吟醸,['山田錦'],5.0,1.3,0.9,17.45,35.0,-0.38,,3.892671,4.1066566,1.8064481084092272,-1.9931988870617718,True,0
酒呑童子,斗瓶取り雫酒 青瓶,ハクレイ酒造,京都府,宮津市,丹後,大吟醸,['山田錦'],5.0,1.3,0.9,17.45,35.0,-0.38,,3.8722847,4.1096935,1.8064481084092272,-1.9931988870617718,True,0
酒呑童子,斗瓶取り雫酒 黒瓶,ハクレイ酒造,京都府,宮津市,丹後,大吟醸,['山田錦'],5.0,1.5,0.9,17.45,35.0,-6.65,,3.9089277,4.1569138,1.5781586875813,-1.9115995584050132,True,1
香田,香田５０磨き,ハクレイ酒造,京都府,宮津市,丹後,純米大吟醸,['山田錦'],2.0,1.3,1.3,15.45,50.0,-0.1,,4.073643,10.226122,0.4651648263364531,-0.1954942656300149,True,0
香田,特別純米酒 香田,ハクレイ酒造,京都府,宮津市,丹後,特別純米,['山田錦'],4.0,1.4,1.2,14.45,60.0,-0.4,,13.394259,3.948421,-0.19808225232411264,-0.00908917629399247,True,0
酒呑童子,純米 京女,ハクレイ酒造,京都府,宮津市,丹後,特別純米,"['五百万石', '京の輝き']",-1.0,1.5,1.5,14.45,60.0,-0.06,,10.277422,-0.42077136,-0.5819921444822173,0.9193186089158556,True,0
酒呑童子,純米 酒呑童子,ハクレイ酒造,京都府,宮津市,丹後,特別純米,"['山田錦', '日本晴']",5.0,1.5,1.5,15.45,60.0,-0.61,,10.130027,-0.47466663,0.19916606862012973,1.2032879860258134,True,0
酒呑童子,大辛口 酒呑童子,ハクレイ酒造,京都府,宮津市,丹後,本醸造,"['五百万石', '日本晴']",12.0,1.2,1.1,15.45,60.0,-0.91,,14.452013,4.661321,0.9211529940819145,-0.09750744106114313,True,0
白嶺,日本酒スパークリング,ハクレイ酒造,京都府,宮津市,丹後,リキュール,['五百万石'],-4.0,2.5,1.8,15.0,60.0,-0.94,,10.32505,-1.5760337,-1.6410443655477567,2.351290394905051,True,0
白嶺,純米吟醸 初搾り,ハクレイ酒造,京都府,宮津市,丹後,純米吟醸,['五百万石'],5.0,2.0,1.1,16.45,60.0,-1.19,,8.328947,2.1816251,0.014383999992018,0.31469789481041455,True,0
白嶺,特別純米 香田生酒,ハクレイ酒造,京都府,宮津市,丹後,特別純米,['山田錦'],3.0,1.7,1.3,14.45,70.0,-0.66,,11.666128,0.6313298,-0.826024042077355,1.0482453391473572,True,0
酒呑童子,純米生酛原酒,ハクレイ酒造,京都府,宮津市,丹後,純米,"['京の輝き', '五百万石']",5.0,1.5,1.5,17.0,65.0,-0.61,,8.337191,-0.00036676117,0.7380442502164118,1.816130949204082,True,0
酒呑童子,夏の純米吟醸,ハクレイ酒造,京都府,宮津市,丹後,純米吟醸,['山田錦'],-2.0,1.9,1.5,15.45,50.0,-0.43,,9.128318,-1.6332439,-0.43927866109883434,0.630880346780961,True,0
酒呑童子,吟醸生酛,ハクレイ酒造,京都府,宮津市,丹後,純米吟醸,['五百万石'],12.0,1.7,1.4,17.0,60.0,-1.49,,8.513744,0.551582,1.035189571139186,1.3687058567348585,True,0
八重垣,黒乃無,ヤヱガキ酒造,兵庫県,姫路市,播磨,純米大吟醸,['山田錦'],-4.0,1.3,1.3,16.0,40.0,0.46,,2.2762153,4.3460097,0.575861347408463,-0.809976721584869,False,0
八重垣,青乃無,ヤヱガキ酒造,兵庫県,姫路市,播磨,純米大吟醸,"['山田錦', '五百万石']",1.0,1.2,1.3,15.0,50.0,0.11,,4.1341276,9.963587,0.3291043555156616,-0.33816674158316445,False,0
八重垣,特別純米 山田錦,ヤヱガキ酒造,兵庫県,姫路市,播磨,特別純米,['山田錦'],3.0,1.5,1.5,15.0,65.0,-0.43,,10.763635,-0.5764136,-0.22829561915710184,1.4006240071883467,False,0
八重垣,純米,ヤヱガキ酒造,兵庫県,姫路市,播磨,純米,['国内産米'],1.0,1.7,1.5,15.0,65.0,-0.47,,10.782821,-0.6359639,-0.575780351351265,1.4517369734042693,False,0
八重垣,純米 無濾過生原酒,ヤヱガキ酒造,兵庫県,姫路市,播磨,純米,"['キヌヒカリ', '兵庫北錦']",2.0,2.1,2.1,17.0,65.0,-1.03,,10.30954,-1.7125679,-0.06917078597382535,3.9428474454802216,False,0
八重垣,純米 生酒,ヤヱガキ酒造,兵庫県,姫路市,播磨,純米,"['キヌヒカリ', '山田錦']",1.0,1.8,1.7,15.0,65.0,-0.59,,10.637881,-1.2109591,-0.6711096639842625,2.135085989055021,False,0
八重垣,純米吟醸 ひやおろし,ヤヱガキ酒造,兵庫県,姫路市,播磨,純米吟醸,['雄町'],-4.0,1.5,1.2,15.0,60.0,0.22,,13.93029,3.1472456,-0.5560434547510194,0.015645697654140037,False,0
八重垣,本醸造,ヤヱガキ酒造,兵庫県,姫路市,播磨,本醸造,"['キヌヒカリ', '兵庫北錦']",2.5,1.5,1.5,15.0,70.0,-0.38,,11.178599,-0.53332585,-0.3757532978580192,1.7074544305858594,False,0
八重垣,褒紋 純米大吟醸,ヤヱガキ酒造,兵庫県,姫路市,播磨,純米大吟醸,['兵庫北錦'],2.0,1.2,1.5,16.0,50.0,0.01,,8.746223,-1.9458508,0.8310896879833847,0.5121360807470755,False,0
八重垣,褒紋 純米吟醸,ヤヱガキ酒造,兵庫県,姫路市,播磨,純米吟醸,['雄町'],-5.0,1.5,1.5,16.0,60.0,0.32,,9.673129,-0.45369032,-0.16384573475904934,1.1567368332047305,False,0
獺祭,純米吟醸４５,旭酒造,山口県,岩国市,周防,純米大吟醸,['山田錦'],3.0,1.3,1.2,16.0,45.0,-0.2,13.0,3.1213493,7.199215,0.865978387440448,-0.7100971146954078,False,1
獺祭,純米大吟醸 磨き二割三分,旭酒造,山口県,岩国市,周防,純米大吟醸,['山田錦'],5.0,1.2,0.8,15.5,23.0,-0.27,13.0,3.2432554,4.745401,1.3676004179380727,-3.485353125755396,False,0
獺祭,純米大吟醸 磨き二割三分 遠心分離,旭酒造,山口県,岩国市,周防,純米大吟醸,['山田錦'],4.0,1.1,0.8,15.5,23.0,-0.06,13.0,3.2543015,4.7475386,1.422147472668918,-3.541395971304193,False,0
獺祭,純米大吟醸 三割九分,旭酒造,山口県,岩国市,周防,純米大吟醸,['山田錦'],6.0,1.1,1.2,15.5,39.0,-0.24,13.0,1.7351401,3.82062,1.20246525684714,-1.219564461393903,False,1
獺祭,純米大吟醸 三割九分 遠心分離,旭酒造,山口県,岩国市,周防,純米大吟醸,['山田錦'],6.0,1.1,1.2,15.5,39.0,-0.24,13.0,1.745759,3.8329484,1.20246525684714,-1.219564461393903,False,1
獺祭,純米大吟醸 磨き二割三分 正月一番乗り,旭酒造,山口県,岩国市,周防,純米大吟醸,['山田錦'],5.0,1.1,1.2,16.0,23.0,-0.15,13.0,0.65142643,3.749815,1.7311620634157878,-2.144798942545305,False,1
獺祭,純米吟醸 ５０ 遠心分離 おりがらみ,旭酒造,山口県,岩国市,周防,純米吟醸,['山田錦'],3.0,1.5,1.2,15.5,50.0,-0.43,13.0,2.3405166,9.63014,0.3082439762513431,-0.41030091692465226,False,2
獺祭,純米吟醸 ５０ 遠心分離,旭酒造,山口県,岩国市,周防,純米吟醸,['山田錦'],3.0,1.5,1.2,15.5,50.0,-0.43,13.0,2.3771012,9.559051,0.3082439762513431,-0.41030091692465226,False,2
獺祭,純米大吟醸 ５０,旭酒造,山口県,岩国市,周防,純米大吟醸,['山田錦'],5.0,1.3,1.2,15.5,50.0,-0.38,13.0,3.5787067,9.856646,0.6557287084455065,-0.4614138831405748,False,1
獺祭,無濾過非加熱生原酒 ５０,旭酒造,山口県,岩国市,周防,,['山田錦'],5.0,1.5,1.2,16.5,50.0,-0.61,13.0,6.135515,3.2284255,0.851011566621218,-0.18730426469636668,False,1
獺祭,初心,旭酒造,山口県,岩国市,周防,,"['山田錦', '日本晴']",6.0,1.3,1.2,16.0,58.0,-0.47,13.0,9.629501,2.0995502,0.7388583422554705,0.1532076653859226,False,1
